epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.06399,2.4025,4.64147,1.94365,0,0,0,0,2.30411,4.53464,1.64645,0,0,0
2,1.9093,2.4555,4.77414,1.63029,0,0,0,0,2.30548,4.53428,1.64493,5.44991e-06,5.44991e-06,5.44991e-06
3,2.68648,2.64505,4.8019,1.81404,0,0,0,0,2.29702,4.53524,1.64484,1.06796e-05,1.06796e-05,1.06796e-05
4,3.49243,2.49908,4.762,1.68091,0,0,0,0,2.29883,4.53644,1.64582,1.56892e-05,1.56892e-05,1.56892e-05
5,4.21048,2.61959,4.77575,2.02677,0,0,0,0,2.29934,4.53404,1.64311,2.04786e-05,2.04786e-05,2.04786e-05
6,4.93597,2.61646,4.60557,2.05495,0,0,0,0,2.2949,4.5262,1.63724,2.50478e-05,2.50478e-05,2.50478e-05
7,5.65838,2.60915,4.62587,1.86005,0,0,0,0,2.27106,4.52051,1.62053,2.93968e-05,2.93968e-05,2.93968e-05
8,6.39308,2.41105,4.4859,1.8049,0,0,0,0,2.24433,4.51782,1.60122,3.35257e-05,3.35257e-05,3.35257e-05
9,7.10307,2.52372,4.62507,1.85639,0,0,0,0,2.2209,4.51498,1.5873,3.74344e-05,3.74344e-05,3.74344e-05
10,7.82504,2.33484,4.51784,1.85386,0,0,0,0,2.20511,4.51028,1.5748,4.11229e-05,4.11229e-05,4.11229e-05
11,8.56019,2.49496,4.6566,1.66937,0,0,0,0,2.18641,4.51534,1.55973,4.45912e-05,4.45912e-05,4.45912e-05
12,9.24129,2.35795,4.57004,1.83524,0,0,0,0,2.17108,4.51165,1.54124,4.78394e-05,4.78394e-05,4.78394e-05
13,9.96341,2.53476,4.78276,1.73114,0,0,0,0,2.14858,4.5014,1.52047,5.08673e-05,5.08673e-05,5.08673e-05
14,10.7105,2.47379,4.54035,1.76543,0,0,0,0,2.14174,4.49048,1.5074,5.36751e-05,5.36751e-05,5.36751e-05
15,11.4058,2.12976,4.3671,1.68412,0,0,0,0,2.14376,4.48942,1.51041,5.62628e-05,5.62628e-05,5.62628e-05
16,12.0983,2.60443,4.6289,1.56005,0,0,0,0,2.14726,4.48198,1.4999,5.86302e-05,5.86302e-05,5.86302e-05
17,12.8075,2.14073,4.33295,1.54301,0,0,0,0,2.14113,4.47953,1.49714,6.07775e-05,6.07775e-05,6.07775e-05
18,13.4669,2.16644,4.43278,1.60185,0,0,0,0,2.14113,4.47953,1.49714,6.27046e-05,6.27046e-05,6.27046e-05
19,14.1936,2.37726,4.53077,1.59596,0,0,0,0,2.13253,4.47401,1.49308,6.44115e-05,6.44115e-05,6.44115e-05
20,14.8919,2.32451,4.58674,1.47138,0,0,0,0,2.13253,4.47401,1.49308,6.58982e-05,6.58982e-05,6.58982e-05
21,15.5944,2.23704,4.18431,1.61926,0.01429,0.00794,0.00835,0.00334,2.12726,4.46908,1.48698,6.71648e-05,6.71648e-05,6.71648e-05
22,16.2767,2.12525,4.21582,1.54512,0.01429,0.00794,0.00835,0.00334,2.12726,4.46908,1.48698,6.82112e-05,6.82112e-05,6.82112e-05
23,16.9728,2.21899,4.4162,1.59628,0.01531,0.02381,0.01405,0.00329,2.09974,4.45814,1.46248,6.90374e-05,6.90374e-05,6.90374e-05
24,17.6676,2.20895,4.33014,1.575,0.01531,0.02381,0.01405,0.00329,2.09974,4.45814,1.46248,6.96434e-05,6.96434e-05,6.96434e-05
25,18.3586,2.03056,4.33929,1.53265,0.01361,0.03175,0.01447,0.0036,2.10606,4.43964,1.45269,7.00293e-05,7.00293e-05,7.00293e-05
26,19.0401,2.13435,4.34233,1.52589,0.01361,0.03175,0.01447,0.0036,2.10606,4.43964,1.45269,7.0195e-05,7.0195e-05,7.0195e-05
27,19.7447,2.18554,4.02219,1.66336,0.00794,0.03175,0.01528,0.00358,2.09211,4.43705,1.44507,7.01405e-05,7.01405e-05,7.01405e-05
28,20.4501,2.18077,4.36804,1.46462,0.00794,0.03175,0.01528,0.00358,2.09211,4.43705,1.44507,6.98658e-05,6.98658e-05,6.98658e-05
29,21.2097,2.23194,4.18489,1.53186,0.00571,0.03175,0.01466,0.00355,2.06801,4.43141,1.42521,6.9371e-05,6.9371e-05,6.9371e-05
30,21.8746,2.18401,4.26888,1.45914,0.00571,0.03175,0.01466,0.00355,2.06801,4.43141,1.42521,6.8656e-05,6.8656e-05,6.8656e-05
31,22.5937,2.32202,4.41194,1.46516,0.02254,0.0496,0.02554,0.00985,2.04082,4.4231,1.41227,6.77208e-05,6.77208e-05,6.77208e-05
32,23.2691,2.19046,4.19685,1.55661,0.02254,0.0496,0.02554,0.00985,2.04082,4.4231,1.41227,6.65654e-05,6.65654e-05,6.65654e-05
33,23.9478,2.19497,4.26333,1.52014,0.07108,0.10176,0.08635,0.0272,2.03955,4.40195,1.40068,6.51899e-05,6.51899e-05,6.51899e-05
34,24.5966,2.25408,4.22562,1.50071,0.07108,0.10176,0.08635,0.0272,2.03955,4.40195,1.40068,6.35942e-05,6.35942e-05,6.35942e-05
35,25.2284,2.22556,3.98498,1.5603,0.06127,0.11961,0.08464,0.03242,2.03199,4.38991,1.38498,6.17783e-05,6.17783e-05,6.17783e-05
36,25.9228,2.27581,4.01338,1.53896,0.06127,0.11961,0.08464,0.03242,2.03199,4.38991,1.38498,5.97422e-05,5.97422e-05,5.97422e-05
37,26.6228,2.27601,4.14717,1.50956,0.03167,0.15136,0.07859,0.03264,1.99879,4.37522,1.36617,5.7486e-05,5.7486e-05,5.7486e-05
38,27.2777,2.15514,4.14228,1.43891,0.03167,0.15136,0.07859,0.03264,1.99879,4.37522,1.36617,5.50095e-05,5.50095e-05,5.50095e-05
39,27.934,2.15075,4.10972,1.42818,0.02398,0.15136,0.07592,0.03144,1.97118,4.36202,1.35372,5.23129e-05,5.23129e-05,5.23129e-05
